# Bris star catalog source data.
#
# AUTOGENERATED by scripts/import_bsc.py from the Yale Bright Star
# Catalogue (BSC5) at https://cdsarc.cds.unistra.fr/ftp/V/50/.
# Do not hand-edit; rerun the importer to refresh.
#
# Format: tab-separated, one star per line, '#' starts a comment.
# Columns:
#   hr           Yale BSC number (primary key).
#   hip          Hipparcos number, 0 if not cross-referenced.
#   name         Conventional name, spaces replaced by '_'.
#   ra_deg       Right ascension in decimal degrees, J2000.0.
#   dec_deg      Declination in decimal degrees, J2000.0.
#   pm_ra_mas    Proper motion in RA, mas/yr (dα/dt × cos δ).
#   pm_dec_mas   Proper motion in declination, mas/yr.
#   parallax_mas Trigonometric parallax in milliarcseconds.
#   vmag         Apparent visual magnitude.
#   nav57        '*' if one of the 57 standard navigational stars.
#
# hr	hip	name	ra_deg	dec_deg	pm_ra_mas	pm_dec_mas	parallax_mas	vmag	nav57
273	0	HR273	14.629583	66.352222	43.00	-6.00	0.00	5.97	
274	0	68____Psc	14.459167	28.992222	8.00	-8.00	0.00	5.42	
275	0	HR275	14.559167	33.950833	35.00	-72.00	0.00	5.98	
276	0	HR276	14.477083	13.695833	-11.00	-13.00	0.00	6.32	
277	0	HR277	14.578750	21.404444	-6.00	-3.00	9.00	6.37	
278	0	HR278	15.129167	70.983056	82.00	0.00	0.00	6.39	
279	0	23Phi4Cet	14.682917	-11.380000	-34.00	-19.00	0.00	5.61	
280	0	Alp_Scl	14.651667	-29.357500	22.00	4.00	0.00	4.31	
281	0	HR281	14.593333	-60.696389	50.00	18.00	0.00	6.23	
282	0	HR282	15.014167	44.711111	11.00	-24.00	5.00	6.84	
283	0	HR283	15.015000	44.713333	16.00	-23.00	5.00	6.04	
284	0	HR284	14.957083	6.483056	23.00	-8.00	1.00	6.11	
285	0	HR285	17.186250	86.256944	76.00	-12.00	0.00	4.25	
286	0	HR286	23.460000	89.015556	62.00	-36.00	0.00	6.46	
287	0	HR287	15.576667	51.035000	-4.00	-13.00	0.00	6.47	
288	0	Xi__Scl	15.326250	-38.916667	69.00	45.00	34.00	5.59	
